日付,ロット番号,塗布長,種別,号機,コーター部温度,コーター部相対湿度,ポンプ圧力,乾燥ゾーン1温度,乾燥ゾーン2温度,UV照度,ランプ点灯時間,チャンバー内O2濃度,UVロール温度,ブリードアウト
2026-03-19,SC20260319-0022,1000m,製造,YC-08,28.20,50.6,0.902,120.06,122.00,1020.8,621,0.01100,89.05,FALSE
2026-03-19,SC20260319-0023,1200m,製造,YC-08,28.21,50.7,0.904,120.08,122.03,1021.0,622,0.01100,89.05,FALSE
2026-03-19,SC20260319-0024,1500m,製造,YC-08,28.22,50.8,0.906,120.10,122.05,1021.2,623,0.01100,89.05,FALSE
2026-03-19,SC20260319-0025,500m,製造,YC-08,28.20,50.9,0.900,120.00,122.08,1021.4,624,0.01100,89.05,FALSE
2026-03-19,SC20260319-0026,1000m,製造,YC-08,28.21,50.5,0.902,120.02,122.10,1021.6,625,0.01100,89.05,FALSE
2026-03-19,SC20260319-0027,1200m,製造,YC-08,28.22,50.6,0.904,120.04,122.12,1021.8,626,0.01100,89.05,FALSE
2026-03-19,SC20260319-0028,1500m,製造,YC-08,28.20,50.7,0.906,120.06,122.15,1020.2,627,0.01100,89.05,FALSE
2026-03-19,SC20260319-0029,500m,製造,YC-08,28.21,50.8,0.900,120.08,122.00,1020.4,628,0.01100,89.05,FALSE
2026-03-19,SC20260319-0030,1000m,製造,YC-08,28.22,50.9,0.902,120.10,122.03,1020.6,629,0.01100,89.05,FALSE
2026-03-19,SC20260319-0031,1200m,製造,YC-08,28.20,50.5,0.904,120.00,122.05,1020.8,630,0.01100,89.05,FALSE
2026-03-19,SC20260319-0032,1500m,製造,YC-08,28.21,50.6,0.906,120.02,122.08,1021.0,631,0.01100,89.05,FALSE
2026-03-19,SC20260319-0033,500m,製造,YC-08,28.22,50.7,0.900,120.04,122.10,1021.2,632,0.01100,89.05,FALSE
2026-03-19,SC20260319-0034,1000m,製造,YC-08,28.20,50.8,0.902,120.06,122.12,1021.4,633,0.01100,89.05,FALSE
2026-03-19,SC20260319-0035,1200m,試作品,YC-08,28.21,50.9,0.904,120.08,122.15,1021.6,634,0.01100,89.05,FALSE
2026-03-19,SC20260319-0036,1500m,製造,YC-08,28.22,50.5,0.906,120.10,122.00,1021.8,635,0.01100,89.05,FALSE
2026-03-19,SC20260319-0037,500m,製造,YC-08,28.20,50.6,0.900,120.00,122.03,1020.2,636,0.01100,89.05,FALSE
2026-03-19,SC20260319-0038,1000m,製造,YC-08,28.21,50.7,0.902,120.02,122.05,1020.4,637,0.01100,89.05,FALSE
2026-03-19,SC20260319-0039,1200m,製造,YC-08,28.22,50.8,0.904,120.04,122.08,1020.6,638,0.01100,89.07,FALSE
2026-03-19,SC20260319-0040,1500m,製造,YC-08,28.20,50.9,0.906,120.06,122.10,1020.8,639,0.01100,89.05,FALSE
2026-03-19,SC20260319-0041,500m,製造,YC-08,28.21,50.5,0.900,120.08,122.12,1021.0,640,0.01100,89.05,FALSE
2026-03-19,SC20260319-0042,1000m,製造,YC-08,28.22,50.6,0.902,120.10,122.15,1021.2,641,0.01100,89.05,FALSE
2026-03-19,SC20260319-0043,1200m,製造,YC-08,28.20,50.7,0.904,120.00,122.00,1021.4,642,0.01100,89.05,FALSE
2026-03-19,SC20260319-0044,1500m,製造,YC-08,28.21,50.8,0.906,120.02,122.03,1021.6,643,0.01100,89.05,FALSE
2026-03-19,SC20260319-0045,500m,製造,YC-08,28.22,50.9,0.900,120.04,122.05,1021.8,644,0.01100,89.05,FALSE
2026-03-19,SC20260319-0046,1000m,製造,YC-08,28.20,50.5,0.902,120.06,122.08,1020.2,645,0.01100,89.05,FALSE
2026-03-19,SC20260319-0047,1200m,製造,YC-08,28.21,50.6,0.904,120.08,122.10,1020.4,646,0.01100,89.05,FALSE
2026-03-19,SC20260319-0048,1500m,製造,YC-08,28.22,50.7,0.906,120.10,122.12,1020.6,647,0.01100,89.05,FALSE
2026-03-19,SC20260319-0049,500m,製造,YC-08,28.20,50.8,0.900,120.00,122.15,1020.8,648,0.01100,89.05,FALSE
2026-03-19,SC20260319-0050,1000m,製造,YC-08,28.21,50.9,0.902,120.02,122.00,1021.0,649,0.01100,89.05,FALSE
2026-03-19,SC20260319-0051,1200m,製造,YC-08,28.22,50.5,0.904,120.04,122.03,1021.2,650,0.01100,89.05,FALSE
2026-03-19,SC20260319-0052,1500m,試作品,YC-08,28.20,50.6,0.906,120.06,122.05,1021.4,651,0.01100,89.05,FALSE
2026-03-19,SC20260319-0053,500m,製造,YC-08,28.21,50.7,0.900,120.08,122.08,1021.6,652,0.01100,89.05,FALSE
2026-03-19,SC20260319-0054,1000m,製造,YC-08,28.22,50.8,0.902,120.10,122.10,1021.8,653,0.01100,89.05,FALSE
2026-03-19,SC20260319-0055,1200m,製造,YC-08,28.20,50.9,0.904,120.00,122.12,1020.2,654,0.01100,89.05,FALSE
2026-03-19,SC20260319-0056,1500m,製造,YC-08,28.21,50.5,0.906,120.02,122.15,1020.4,655,0.01100,89.05,FALSE
2026-03-19,SC20260319-0057,500m,製造,YC-08,28.22,50.6,0.900,120.04,122.00,1020.6,656,0.01100,89.05,FALSE
2026-03-19,SC20260319-0058,1000m,製造,YC-08,28.20,50.7,0.902,120.06,122.03,1020.8,657,0.01100,89.07,FALSE
2026-03-19,SC20260319-0059,1200m,製造,YC-08,28.21,50.8,0.904,120.08,122.05,1021.0,658,0.01100,89.05,FALSE
2026-03-19,SC20260319-0060,1500m,製造,YC-08,28.22,50.9,0.906,120.10,122.08,1021.2,659,0.01100,89.05,FALSE
2026-03-19,SC20260319-0061,500m,製造,YC-08,28.20,50.5,0.900,120.00,122.10,1021.4,660,0.01100,89.05,FALSE
2026-03-19,SC20260319-0062,1000m,製造,YC-08,28.21,50.6,0.902,120.02,122.12,1021.6,661,0.01100,89.05,FALSE
2026-03-19,SC20260319-0063,1200m,製造,YC-08,28.22,50.7,0.904,120.04,122.15,1021.8,662,0.01100,89.05,FALSE
2026-03-19,SC20260319-0064,1500m,製造,YC-08,28.20,50.8,0.906,120.06,122.00,1020.2,663,0.01100,89.05,FALSE
2026-03-19,SC20260319-0065,500m,製造,YC-08,28.21,50.9,0.900,120.08,122.03,1020.4,664,0.01100,89.05,FALSE
2026-03-19,SC20260319-0066,1000m,製造,YC-08,28.22,50.5,0.902,120.10,122.05,1020.6,665,0.01100,89.05,FALSE
2026-03-19,SC20260319-0067,1200m,製造,YC-08,28.20,50.6,0.904,120.00,122.08,1020.8,666,0.01100,89.05,FALSE
2026-03-19,SC20260319-0068,1500m,製造,YC-08,28.21,50.7,0.906,120.02,122.10,1021.0,667,0.01100,89.05,FALSE
2026-03-19,SC20260319-0069,500m,試作品,YC-08,28.22,50.8,0.900,120.04,122.12,1021.2,668,0.01100,89.05,FALSE
2026-03-19,SC20260319-0070,1000m,製造,YC-08,28.20,50.9,0.902,120.06,122.15,1021.4,669,0.01100,89.05,FALSE
2026-03-19,SC20260319-0071,1200m,製造,YC-08,28.21,50.5,0.904,120.08,122.00,1021.6,670,0.01100,89.05,FALSE
2026-03-19,SC20260319-0072,1500m,製造,YC-08,28.22,50.6,0.906,120.10,122.03,1021.8,671,0.01100,89.05,FALSE
2026-03-19,SC20260319-0073,500m,製造,YC-08,28.20,50.7,0.900,120.00,122.05,1020.2,672,0.01100,89.05,FALSE
2026-03-19,SC20260319-0074,1000m,製造,YC-08,28.21,50.8,0.902,120.02,122.08,1020.4,673,0.01100,89.05,FALSE
2026-03-19,SC20260319-0075,1200m,製造,YC-08,28.22,50.9,0.904,120.04,122.10,1020.6,674,0.01100,89.05,FALSE
2026-03-19,SC20260319-0076,1500m,製造,YC-08,28.20,50.5,0.906,120.06,122.12,1020.8,675,0.01100,89.05,FALSE
2026-03-19,SC20260319-0077,500m,製造,YC-08,28.21,50.6,0.900,120.08,122.15,1021.0,676,0.01100,89.07,FALSE
2026-03-19,SC20260319-0078,1000m,製造,YC-08,28.22,50.7,0.902,120.10,122.00,1021.2,677,0.01100,89.05,FALSE
2026-03-19,SC20260319-0079,1200m,製造,YC-08,28.20,50.8,0.904,120.00,122.03,1021.4,678,0.01100,89.05,FALSE
2026-03-19,SC20260319-0080,1500m,製造,YC-08,28.21,50.9,0.906,120.02,122.05,1021.6,679,0.01100,89.05,FALSE
2026-03-19,SC20260319-0081,500m,製造,YC-08,28.22,50.5,0.900,120.04,122.08,1021.8,680,0.01100,89.05,FALSE
2026-03-19,SC20260319-0082,1000m,製造,YC-08,28.20,50.6,0.902,120.06,122.10,1020.2,681,0.01100,89.05,FALSE
2026-03-19,SC20260319-0083,1200m,製造,YC-08,28.21,50.7,0.904,120.08,122.12,1020.4,682,0.01100,89.05,FALSE
2026-03-19,SC20260319-0084,1500m,製造,YC-08,28.22,50.8,0.906,120.10,122.15,1020.6,683,0.01100,89.05,FALSE
2026-03-19,SC20260319-0085,500m,製造,YC-08,28.20,50.9,0.900,120.00,122.00,1020.8,684,0.01100,89.05,FALSE
2026-03-19,SC20260319-0086,1000m,試作品,YC-08,28.21,50.5,0.902,120.02,122.03,1021.0,685,0.01100,89.05,FALSE
2026-03-19,SC20260319-0087,1200m,製造,YC-08,28.22,50.6,0.904,120.04,122.05,1021.2,686,0.01100,89.05,FALSE
2026-03-19,SC20260319-0088,1500m,製造,YC-08,28.20,50.7,0.906,120.06,122.08,1021.4,687,0.01100,89.05,FALSE
2026-03-19,SC20260319-0089,500m,製造,YC-08,28.21,50.8,0.900,120.08,122.10,1021.6,688,0.01100,89.05,FALSE
2026-03-19,SC20260319-0090,1000m,製造,YC-08,28.22,50.9,0.902,120.10,122.12,1021.8,689,0.01100,89.05,FALSE
2026-03-19,SC20260319-0091,1200m,製造,YC-08,28.20,50.5,0.904,120.00,122.15,1020.2,690,0.01100,89.05,FALSE
2026-03-19,SC20260319-0092,1500m,製造,YC-08,28.21,50.6,0.906,120.02,122.00,1020.4,691,0.01100,89.05,FALSE
2026-03-19,SC20260319-0093,500m,製造,YC-08,28.22,50.7,0.900,120.04,122.03,1020.6,692,0.01100,89.05,FALSE
2026-03-19,SC20260319-0094,1000m,製造,YC-08,28.20,50.8,0.902,120.06,122.05,1020.8,693,0.01100,89.05,FALSE
2026-03-19,SC20260319-0095,1200m,製造,YC-08,28.21,50.9,0.904,120.08,122.08,1021.0,694,0.01100,89.05,FALSE
2026-03-19,SC20260319-0096,1500m,製造,YC-08,28.22,50.5,0.906,120.10,122.10,1021.2,695,0.01100,89.07,FALSE
2026-03-19,SC20260319-0097,500m,製造,YC-08,28.20,50.6,0.900,120.00,122.12,1021.4,696,0.01100,89.05,FALSE
2026-03-19,SC20260319-0098,1000m,製造,YC-08,28.21,50.7,0.902,120.02,122.15,1021.6,697,0.01100,89.05,FALSE
2026-03-19,SC20260319-0099,1200m,製造,YC-08,28.22,50.8,0.904,120.04,122.00,1021.8,698,0.01100,89.05,FALSE
2026-03-19,SC20260319-0100,1500m,製造,YC-08,28.20,50.9,0.906,120.06,122.03,1020.2,699,0.01100,89.05,FALSE
2026-03-19,SC20260319-0101,500m,製造,YC-08,28.21,50.5,0.900,120.08,122.05,1020.4,700,0.01100,89.05,FALSE
2026-03-19,SC20260319-0102,1000m,製造,YC-08,28.22,50.6,0.902,120.10,122.08,1020.6,701,0.01100,89.05,FALSE
2026-03-19,SC20260319-0103,1200m,試作品,YC-08,28.20,50.7,0.904,120.00,122.10,1020.8,702,0.01100,89.05,FALSE
2026-03-19,SC20260319-0104,1500m,製造,YC-08,28.21,50.8,0.906,120.02,122.12,1021.0,703,0.01100,89.05,FALSE
2026-03-19,SC20260319-0105,500m,製造,YC-08,28.22,50.9,0.900,120.04,122.15,1021.2,704,0.01100,89.05,FALSE
2026-03-19,SC20260319-0106,1000m,製造,YC-08,28.20,50.5,0.902,120.06,122.00,1021.4,705,0.01100,89.05,FALSE
2026-03-19,SC20260319-0107,1200m,製造,YC-08,28.21,50.6,0.904,120.08,122.03,1021.6,706,0.01100,89.05,FALSE
2026-03-19,SC20260319-0108,1500m,製造,YC-08,28.22,50.7,0.906,120.10,122.05,1021.8,707,0.01100,89.05,FALSE
2026-03-19,SC20260319-0109,500m,製造,YC-08,28.20,50.8,0.900,120.00,122.08,1020.2,708,0.01100,89.05,FALSE
2026-03-19,SC20260319-0110,1000m,製造,YC-08,28.21,50.9,0.902,120.02,122.10,1020.4,709,0.01100,89.05,FALSE
2026-03-19,SC20260319-0111,1200m,製造,YC-08,28.22,50.5,0.904,120.04,122.12,1020.6,710,0.01100,89.05,FALSE
2026-03-19,SC20260319-0112,1500m,製造,YC-08,28.20,50.6,0.906,120.06,122.15,1020.8,711,0.01100,89.05,FALSE
2026-03-19,SC20260319-0113,500m,製造,YC-08,28.21,50.7,0.900,120.08,122.00,1021.0,712,0.01100,89.05,FALSE
2026-03-19,SC20260319-0114,1000m,製造,YC-08,28.22,50.8,0.902,120.10,122.03,1021.2,713,0.01100,89.05,FALSE
2026-03-19,SC20260319-0115,1200m,製造,YC-08,28.20,50.9,0.904,120.00,122.05,1021.4,714,0.01100,89.07,FALSE
2026-03-19,SC20260319-0116,1500m,製造,YC-08,28.21,50.5,0.906,120.02,122.08,1021.6,715,0.01100,89.05,FALSE
2026-03-19,SC20260319-0117,500m,製造,YC-08,28.22,50.6,0.900,120.04,122.10,1021.8,716,0.01100,89.05,FALSE
2026-03-19,SC20260319-0118,1000m,製造,YC-08,28.20,50.7,0.902,120.06,122.12,1020.2,717,0.01100,89.05,FALSE
2026-03-19,SC20260319-0119,1200m,製造,YC-08,28.21,50.8,0.904,120.08,122.15,1020.4,718,0.01100,89.05,FALSE
2026-03-19,SC20260319-0120,1500m,試作品,YC-08,28.22,50.9,0.906,120.10,122.00,1020.6,719,0.01100,89.05,FALSE
2026-03-19,SC20260319-0121,500m,製造,YC-08,28.20,50.5,0.900,120.00,122.03,1020.8,720,0.01100,89.05,FALSE
2026-03-19,SC20260319-0122,1000m,製造,YC-08,28.21,50.6,0.902,120.02,122.05,1021.0,721,0.01100,89.05,FALSE
2026-03-19,SC20260319-0123,1200m,製造,YC-08,28.22,50.7,0.904,120.04,122.08,1021.2,722,0.01100,89.05,FALSE
2026-03-19,SC20260319-0124,1500m,製造,YC-08,28.20,50.8,0.906,120.06,122.10,1021.4,723,0.01100,89.05,FALSE
2026-03-19,SC20260319-0125,500m,製造,YC-08,28.21,50.9,0.900,120.08,122.12,1021.6,724,0.01100,89.05,FALSE
2026-03-19,SC20260319-0126,1000m,製造,YC-08,28.22,50.5,0.902,120.10,122.15,1021.8,725,0.01100,89.05,FALSE
2026-03-19,SC20260319-0127,1200m,製造,YC-08,28.20,50.6,0.904,120.00,122.00,1020.2,726,0.01100,89.05,FALSE
2026-03-19,SC20260319-0128,1500m,製造,YC-08,28.21,50.7,0.906,120.02,122.03,1020.4,727,0.01100,89.05,FALSE
2026-03-19,SC20260319-0129,500m,製造,YC-08,28.22,50.8,0.900,120.04,122.05,1020.6,728,0.01100,89.05,FALSE
2026-03-19,SC20260319-0130,1000m,製造,YC-08,28.20,50.9,0.902,120.06,122.08,1020.8,729,0.01100,89.05,FALSE
2026-03-19,SC20260319-0131,1200m,製造,YC-08,28.21,50.5,0.904,120.08,122.10,1021.0,730,0.01100,89.05,FALSE
2026-03-19,SC20260319-0132,1500m,製造,YC-08,28.22,50.6,0.906,120.10,122.12,1021.2,731,0.01100,89.05,FALSE
2026-03-19,SC20260319-0133,500m,製造,YC-08,28.20,50.7,0.900,120.00,122.15,1021.4,732,0.01100,89.05,FALSE
2026-03-19,SC20260319-0134,1000m,製造,YC-08,28.21,50.8,0.902,120.02,122.00,1021.6,733,0.01100,89.07,FALSE
2026-03-19,SC20260319-0135,1200m,製造,YC-08,28.22,50.9,0.904,120.04,122.03,1021.8,734,0.01100,89.05,FALSE
2026-03-19,SC20260319-0136,1500m,製造,YC-08,28.20,50.5,0.906,120.06,122.05,1020.2,735,0.01100,89.05,FALSE
2026-03-19,SC20260319-0137,500m,試作品,YC-08,28.21,50.6,0.900,120.08,122.08,1020.4,736,0.01100,89.05,FALSE
2026-03-19,SC20260319-0138,1000m,製造,YC-08,28.22,50.7,0.902,120.10,122.10,1020.6,737,0.01100,89.05,FALSE
2026-03-19,SC20260319-0139,1200m,製造,YC-08,28.20,50.8,0.904,120.00,122.12,1020.8,738,0.01100,89.05,FALSE
2026-03-19,SC20260319-0140,1500m,製造,YC-08,28.21,50.9,0.906,120.02,122.15,1021.0,739,0.01100,89.05,FALSE
2026-03-19,SC20260319-0141,500m,製造,YC-08,28.22,50.5,0.900,120.04,122.00,1021.2,740,0.01100,89.05,FALSE
2026-03-19,SC20260319-0142,1000m,製造,YC-08,28.20,50.6,0.902,120.06,122.03,1021.4,741,0.01100,89.05,FALSE
2026-03-19,SC20260319-0143,1200m,製造,YC-08,28.21,50.7,0.904,120.08,122.05,1021.6,742,0.01100,89.05,FALSE
2026-03-19,SC20260319-0144,1500m,製造,YC-08,28.22,50.8,0.906,120.10,122.08,1021.8,743,0.01100,89.05,FALSE
2026-03-19,SC20260319-0145,500m,製造,YC-08,28.20,50.9,0.900,120.00,122.10,1020.2,744,0.01100,89.05,FALSE
2026-03-19,SC20260319-0146,1000m,製造,YC-08,28.21,50.5,0.902,120.02,122.12,1020.4,745,0.01100,89.05,FALSE
2026-03-19,SC20260319-0147,1200m,製造,YC-08,28.22,50.6,0.904,120.04,122.15,1020.6,746,0.01100,89.05,FALSE
2026-03-19,SC20260319-0148,1500m,製造,YC-08,28.20,50.7,0.906,120.06,122.00,1020.8,747,0.01100,89.05,FALSE
2026-03-19,SC20260319-0149,500m,製造,YC-08,28.21,50.8,0.900,120.08,122.03,1021.0,748,0.01100,89.05,FALSE
2026-03-19,SC20260319-0150,1000m,製造,YC-08,28.22,50.9,0.902,120.10,122.05,1021.2,749,0.01100,89.05,FALSE
2026-03-19,SC20260319-0151,1200m,製造,YC-08,28.20,50.5,0.904,120.00,122.08,1021.4,750,0.01100,89.05,FALSE
2026-03-19,SC20260319-0152,1500m,製造,YC-08,28.21,50.6,0.906,120.02,122.10,1021.6,751,0.01100,89.05,FALSE
2026-03-19,SC20260319-0153,500m,製造,YC-08,28.22,50.7,0.900,120.04,122.12,1021.8,752,0.01100,89.07,FALSE
2026-03-19,SC20260319-0154,1000m,試作品,YC-08,28.20,50.8,0.902,120.06,122.15,1020.2,753,0.01100,89.05,FALSE
2026-03-19,SC20260319-0155,1200m,製造,YC-08,28.21,50.9,0.904,120.08,122.00,1020.4,754,0.01100,89.05,FALSE
2026-03-19,SC20260319-0156,1500m,製造,YC-08,28.22,50.5,0.906,120.10,122.03,1020.6,755,0.01100,89.05,FALSE
2026-03-19,SC20260319-0157,500m,製造,YC-08,28.20,50.6,0.900,120.00,122.05,1020.8,756,0.01100,89.05,FALSE
2026-03-19,SC20260319-0158,1000m,製造,YC-08,28.21,50.7,0.902,120.02,122.08,1021.0,757,0.01100,89.05,FALSE
2026-03-19,SC20260319-0159,1200m,製造,YC-08,28.22,50.8,0.904,120.04,122.10,1021.2,758,0.01100,89.05,FALSE
2026-03-19,SC20260319-0160,1500m,製造,YC-08,28.20,50.9,0.906,120.06,122.12,1021.4,759,0.01100,89.05,FALSE
2026-03-19,SC20260319-0161,500m,製造,YC-08,28.21,50.5,0.900,120.08,122.15,1021.6,760,0.01100,89.05,FALSE
2026-03-19,SC20260319-0162,1000m,製造,YC-08,28.22,50.6,0.902,120.10,122.00,1021.8,761,0.01100,89.05,FALSE
2026-03-19,SC20260319-0163,1200m,製造,YC-08,28.20,50.7,0.904,120.00,122.03,1020.2,762,0.01100,89.05,FALSE
2026-03-19,SC20260319-0164,1500m,製造,YC-08,28.21,50.8,0.906,120.02,122.05,1020.4,763,0.01100,89.05,FALSE
2026-03-19,SC20260319-0165,500m,製造,YC-08,28.22,50.9,0.900,120.04,122.08,1020.6,764,0.01100,89.05,FALSE
2026-03-19,SC20260319-0166,1000m,製造,YC-08,28.20,50.5,0.902,120.06,122.10,1020.8,765,0.01100,89.05,FALSE
2026-03-19,SC20260319-0167,1200m,製造,YC-08,28.21,50.6,0.904,120.08,122.12,1021.0,766,0.01100,89.05,FALSE
2026-03-19,SC20260319-0168,1500m,製造,YC-08,28.22,50.7,0.906,120.10,122.15,1021.2,767,0.01100,89.05,FALSE
2026-03-19,SC20260319-0169,500m,製造,YC-08,28.20,50.8,0.900,120.00,122.00,1021.4,768,0.01100,89.05,FALSE
2026-03-19,SC20260319-0170,1000m,製造,YC-08,28.21,50.9,0.902,120.02,122.03,1021.6,769,0.01100,89.05,FALSE
2026-03-19,SC20260319-0171,1200m,試作品,YC-08,28.22,50.5,0.904,120.04,122.05,1021.8,770,0.01100,89.05,FALSE
2026-03-19,SC20260319-0172,1500m,製造,YC-08,28.20,50.6,0.906,120.06,122.08,1020.2,771,0.01100,89.07,FALSE
2026-03-19,SC20260319-0173,500m,製造,YC-08,28.21,50.7,0.900,120.08,122.10,1020.4,772,0.01100,89.05,FALSE
2026-03-19,SC20260319-0174,1000m,製造,YC-08,28.22,50.8,0.902,120.10,122.12,1020.6,773,0.01100,89.05,FALSE
2026-03-19,SC20260319-0175,1200m,製造,YC-08,28.20,50.9,0.904,120.00,122.15,1020.8,774,0.01100,89.05,FALSE
2026-03-19,SC20260319-0176,1500m,製造,YC-08,28.21,50.5,0.906,120.02,122.00,1021.0,775,0.01100,89.05,FALSE
2026-03-19,SC20260319-0177,500m,製造,YC-08,28.22,50.6,0.900,120.04,122.03,1021.2,776,0.01100,89.05,FALSE
2026-03-19,SC20260319-0178,1000m,製造,YC-08,28.20,50.7,0.902,120.06,122.05,1021.4,777,0.01100,89.05,FALSE
2026-03-19,SC20260319-0179,1200m,製造,YC-08,28.21,50.8,0.904,120.08,122.08,1021.6,778,0.01100,89.05,FALSE
2026-03-19,SC20260319-0180,1500m,製造,YC-08,28.22,50.9,0.906,120.10,122.10,1021.8,779,0.01100,89.05,FALSE
2026-03-19,SC20260319-0181,500m,製造,YC-08,28.20,50.5,0.900,120.00,122.12,1020.2,780,0.01100,89.05,FALSE
2026-03-19,SC20260319-0182,1000m,製造,YC-08,28.21,50.6,0.902,120.02,122.15,1020.4,781,0.01100,89.05,FALSE
2026-03-19,SC20260319-0183,1200m,製造,YC-08,28.22,50.7,0.904,120.04,122.00,1020.6,782,0.01100,89.05,FALSE
2026-03-19,SC20260319-0184,1500m,製造,YC-08,28.20,50.8,0.906,120.06,122.03,1020.8,783,0.01100,89.05,FALSE
2026-03-19,SC20260319-0185,500m,製造,YC-08,28.21,50.9,0.900,120.08,122.05,1021.0,784,0.01100,89.05,FALSE
2026-03-19,SC20260319-0186,1000m,製造,YC-08,28.22,50.5,0.902,120.10,122.08,1021.2,785,0.01100,89.05,FALSE
2026-03-19,SC20260319-0187,1200m,製造,YC-08,28.20,50.6,0.904,120.00,122.10,1021.4,786,0.01100,89.05,FALSE
2026-03-19,SC20260319-0188,1500m,試作品,YC-08,28.21,50.7,0.906,120.02,122.12,1021.6,787,0.01100,89.05,FALSE
2026-03-19,SC20260319-0189,500m,製造,YC-08,28.22,50.8,0.900,120.04,122.15,1021.8,788,0.01100,89.05,FALSE
2026-03-19,SC20260319-0190,1000m,製造,YC-08,28.20,50.9,0.902,120.06,122.00,1020.2,789,0.01100,89.05,FALSE
2026-03-19,SC20260319-0191,1200m,製造,YC-08,28.21,50.5,0.904,120.08,122.03,1020.4,790,0.01100,89.07,FALSE
2026-03-19,SC20260319-0192,1500m,製造,YC-08,28.22,50.6,0.906,120.10,122.05,1020.6,791,0.01100,89.05,FALSE
2026-03-19,SC20260319-0193,500m,製造,YC-08,28.20,50.7,0.900,120.00,122.08,1020.8,792,0.01100,89.05,FALSE
2026-03-19,SC20260319-0194,1000m,製造,YC-08,28.21,50.8,0.902,120.02,122.10,1021.0,793,0.01100,89.05,FALSE
2026-03-19,SC20260319-0195,1200m,製造,YC-08,28.22,50.9,0.904,120.04,122.12,1021.2,794,0.01100,89.05,FALSE
2026-03-19,SC20260319-0196,1500m,製造,YC-08,28.20,50.5,0.906,120.06,122.15,1021.4,795,0.01100,89.05,FALSE
2026-03-19,SC20260319-0197,500m,製造,YC-08,28.21,50.6,0.900,120.08,122.00,1021.6,796,0.01100,89.05,FALSE
2026-03-19,SC20260319-0198,1000m,製造,YC-08,28.22,50.7,0.902,120.10,122.03,1021.8,797,0.01100,89.05,FALSE
2026-03-19,SC20260319-0199,1200m,製造,YC-08,28.20,50.8,0.904,120.00,122.05,1020.2,798,0.01100,89.05,FALSE
2026-03-19,SC20260319-0200,1500m,製造,YC-08,28.21,50.9,0.906,120.02,122.08,1020.4,799,0.01100,89.05,FALSE
